"Date","Predicted Cash"
"2010-05-01",5
"2010-05-02",542
"2010-05-03",404
"2010-05-04",14
"2010-05-05",348
"2010-05-06",44
"2010-05-07",482
"2010-05-08",5
"2010-05-09",542
"2010-05-10",404
"2010-05-11",14
"2010-05-12",348
"2010-05-13",44
"2010-05-14",482
"2010-05-15",5
"2010-05-16",542
"2010-05-17",404
"2010-05-18",14
"2010-05-19",348
"2010-05-20",44
"2010-05-21",482
"2010-05-22",5
"2010-05-23",542
"2010-05-24",404
"2010-05-25",14
"2010-05-26",348
"2010-05-27",44
"2010-05-28",482
"2010-05-29",5
"2010-05-30",542
